"","diff","lwr","upr","p adj"
"DL-CTL",0.00800000000000001,-0.0334331739915523,0.0494331739915523,0.992979018370622
"DW-CTL",0.0123333333333333,-0.0290998406582189,0.0537665073248856,0.941681441455086
"NI-CTL",-0.00799999999999999,-0.0494331739915522,0.0334331739915523,0.992979018370622
"NL-CTL",-0.011,-0.0524331739915522,0.0304331739915523,0.965417915941935
"NOA-CTL",-0.00699999999999999,-0.0484331739915523,0.0344331739915523,0.996562733068609
"NR-CTL",-0.013,-0.0544331739915522,0.0284331739915523,0.926651666913904
"DW-DL",0.00433333333333333,-0.0370998406582189,0.0457665073248856,0.999768328733299
"NI-DL",-0.016,-0.0574331739915523,0.0254331739915523,0.83273611627782
"NL-DL",-0.019,-0.0604331739915523,0.0224331739915523,0.704157084320407
"NOA-DL",-0.015,-0.0564331739915523,0.0264331739915523,0.868625291171074
"NR-DL",-0.021,-0.0624331739915522,0.0204331739915523,0.608824794762075
"NI-DW",-0.0203333333333333,-0.0617665073248856,0.0210998406582189,0.640921952349711
"NL-DW",-0.0233333333333333,-0.0647665073248856,0.0180998406582189,0.497839748032018
"NOA-DW",-0.0193333333333333,-0.0607665073248856,0.0220998406582189,0.688544943584582
"NR-DW",-0.0253333333333333,-0.0667665073248856,0.0160998406582189,0.408877758830818
"NL-NI",-0.003,-0.0444331739915523,0.0384331739915523,0.999972918711211
"NOA-NI",0.000999999999999994,-0.0404331739915523,0.0424331739915523,0.999999960963749
"NR-NI",-0.00499999999999999,-0.0464331739915523,0.0364331739915523,0.999473515627517
"NOA-NL",0.004,-0.0374331739915523,0.0454331739915523,0.999854235243552
"NR-NL",-0.00199999999999999,-0.0434331739915522,0.0394331739915523,0.999997547839506
"NR-NOA",-0.00599999999999998,-0.0474331739915522,0.0354331739915523,0.998528205733739
