"","diff","lwr","upr","p adj"
"DL-CTL",0.0363333333333333,-0.0383824406719376,0.111049107338604,0.649792486403149
"DW-CTL",0.018,-0.056715774005271,0.092715774005271,0.978316352265458
"NI-CTL",0.0336666666666667,-0.0410491073386043,0.108382440671938,0.719449012126747
"NL-CTL",0.00533333333333333,-0.0693824406719376,0.0800491073386043,0.999975098453667
"NOA-CTL",-0.019,-0.093715774005271,0.055715774005271,0.971814528008841
"NR-CTL",0.0403333333333334,-0.0343824406719376,0.115049107338604,0.543253840703789
"DW-DL",-0.0183333333333333,-0.0930491073386043,0.0563824406719376,0.976282440265687
"NI-DL",-0.00266666666666665,-0.0773824406719376,0.0720491073386043,0.999999594782606
"NL-DL",-0.031,-0.105715774005271,0.043715774005271,0.784889612992993
"NOA-DL",-0.0553333333333333,-0.130049107338604,0.0193824406719376,0.220661412682871
"NR-DL",0.00400000000000003,-0.0707157740052709,0.078715774005271,0.999995461982412
"NI-DW",0.0156666666666667,-0.0590491073386043,0.0903824406719377,0.989212935548329
"NL-DW",-0.0126666666666667,-0.0873824406719376,0.0620491073386043,0.996497716420788
"NOA-DW",-0.037,-0.111715774005271,0.037715774005271,0.63203877373447
"NR-DW",0.0223333333333334,-0.0523824406719376,0.0970491073386043,0.940597703636237
"NL-NI",-0.0283333333333333,-0.103049107338604,0.0463824406719376,0.843501500022897
"NOA-NI",-0.0526666666666667,-0.127382440671938,0.0220491073386043,0.264641917726641
"NR-NI",0.00666666666666668,-0.0680491073386043,0.0813824406719376,0.999907837233552
"NOA-NL",-0.0243333333333333,-0.0990491073386043,0.0503824406719376,0.914116254875133
"NR-NL",0.035,-0.0397157740052709,0.109715774005271,0.68497704860825
"NR-NOA",0.0593333333333333,-0.0153824406719376,0.134049107338604,0.165821457644307
