"","diff","lwr","upr","p adj"
"DL-CTL",-0.0163333333333333,-0.0666020482574926,0.033935381590826,0.914949153544689
"DW-CTL",-0.00799999999999999,-0.0582687149241593,0.0422687149241593,0.997519447983517
"NI-CTL",-0.0366666666666667,-0.086935381590826,0.0136020482574926,0.233767469021609
"NL-CTL",-0.0113333333333333,-0.0616020482574926,0.038935381590826,0.984400511579927
"NOA-CTL",-0.0146666666666667,-0.064935381590826,0.0356020482574926,0.946656331168153
"NR-CTL",-0.0186666666666667,-0.068935381590826,0.0316020482574926,0.855289046299368
"DW-DL",0.00833333333333333,-0.041935381590826,0.0586020482574926,0.996899180471013
"NI-DL",-0.0203333333333333,-0.0706020482574927,0.029935381590826,0.802803260933179
"NL-DL",0.00499999999999999,-0.0452687149241593,0.0552687149241593,0.999826696531981
"NOA-DL",0.00166666666666666,-0.0486020482574926,0.051935381590826,0.999999739105535
"NR-DL",-0.00233333333333334,-0.0526020482574927,0.047935381590826,0.999998057576121
"NI-DW",-0.0286666666666667,-0.078935381590826,0.0216020482574926,0.484255837941715
"NL-DW",-0.00333333333333334,-0.0536020482574927,0.046935381590826,0.999983878494
"NOA-DW",-0.00666666666666667,-0.056935381590826,0.0436020482574926,0.999101012629549
"NR-DW",-0.0106666666666667,-0.060935381590826,0.0396020482574926,0.988533297496423
"NL-NI",0.0253333333333333,-0.024935381590826,0.0756020482574926,0.614580799047757
"NOA-NI",0.022,-0.0282687149241593,0.0722687149241593,0.743820678957004
"NR-NI",0.018,-0.0322687149241593,0.0682687149241593,0.874087903649684
"NOA-NL",-0.00333333333333333,-0.0536020482574926,0.046935381590826,0.999983878494
"NR-NL",-0.00733333333333333,-0.0576020482574926,0.042935381590826,0.998466548955542
"NR-NOA",-0.004,-0.0542687149241593,0.0462687149241593,0.999952836506867
