"","diff","lwr","upr","p adj"
"DL-CTL",-0.00833333333333333,-0.0597018634672671,0.0430351968006004,0.997244642146077
"DW-CTL",0.00700000000000002,-0.0443685301339337,0.0583685301339338,0.998952600874372
"NI-CTL",-0.0303333333333334,-0.0817018634672671,0.0210351968006004,0.446448141606835
"NL-CTL",-0.0116666666666667,-0.0630351968006004,0.0397018634672671,0.983814688016332
"NOA-CTL",-0.029,-0.0803685301339337,0.0223685301339338,0.495170139194643
"NR-CTL",0.0123333333333333,-0.0390351968006004,0.0637018634672671,0.978675207844258
"DW-DL",0.0153333333333334,-0.0360351968006004,0.0667018634672671,0.94096016024579
"NI-DL",-0.022,-0.0733685301339338,0.0293685301339337,0.761036998514274
"NL-DL",-0.00333333333333333,-0.0547018634672671,0.0480351968006004,0.999985813764255
"NOA-DL",-0.0206666666666667,-0.0720351968006004,0.0307018634672671,0.806459313917703
"NR-DL",0.0206666666666667,-0.0307018634672671,0.0720351968006004,0.806459313917702
"NI-DW",-0.0373333333333334,-0.0887018634672671,0.0140351968006004,0.23695045675497
"NL-DW",-0.0186666666666667,-0.0700351968006004,0.0327018634672671,0.866720180781347
"NOA-DW",-0.036,-0.0873685301339337,0.0153685301339337,0.270057395011658
"NR-DW",0.00533333333333333,-0.0460351968006004,0.0567018634672671,0.999777895150501
"NL-NI",0.0186666666666667,-0.032701863467267,0.0700351968006004,0.866720180781347
"NOA-NI",0.00133333333333337,-0.0500351968006004,0.0527018634672671,0.999999939663036
"NR-NI",0.0426666666666667,-0.00870186346726703,0.0940351968006004,0.135443423156078
"NOA-NL",-0.0173333333333333,-0.0687018634672671,0.0340351968006004,0.900591717618616
"NR-NL",0.024,-0.0273685301339337,0.0753685301339337,0.687379400820427
"NR-NOA",0.0413333333333333,-0.0100351968006004,0.0927018634672671,0.156510832768552
