"","TRT","Depth","n","mean","stdev","sterr"
"1","CTL","0-10",3,25.0582355242567,2.09001640529515,1.20667153420789
"2","CTL","10-20",3,19.2073135198135,2.13167474324014,1.23072298683442
"3","CTL","20-40",3,17.0197670603675,1.25973217898989,0.727306712646647
"4","CTL","40-60",3,15.4077665638007,0.929060247304177,0.536393183874447
"5","CTL","60-100",3,14.1506090808416,1.06623989357944,0.615593889578807
"6","DL","0-10",3,22.6056166056166,2.38301824530516,1.37583622541072
"7","DL","10-20",3,19.0818565400844,2.47822930069143,1.43080635386782
"8","DL","20-40",3,17.0672337624636,0.544757970861794,0.314516161120251
"9","DL","40-60",3,16.493642305407,2.00628159143263,1.15832721688382
"10","DL","60-100",3,15.4667417206117,2.11265544354078,1.2197421890332
"11","DW","0-10",3,27.5705472103004,3.69979489009721,2.13607757574403
"12","DW","10-20",3,23.8695159421033,6.53413663914793,3.77248554753385
"13","DW","20-40",3,17.9561012898956,1.66823075754994,0.963153476941871
"14","DW","40-60",3,17.3485314633158,3.05037085277425,1.7611324329774
"15","DW","60-100",3,14.4121088938162,0.761269193530952,0.439518973810865
"16","NI","0-10",3,23.8719126618063,1.32816124177546,0.766814250466288
"17","NI","10-20",3,16.2932064899548,4.54657282938591,2.62496504693619
"18","NI","20-40",3,16.4290874000551,2.93323210978995,1.69350234818288
"19","NI","40-60",3,15.3161938534279,1.88428412809353,1.08789194858454
"20","NI","60-100",3,11.0083333333333,1.24507362566771,0.718843592940154
"21","NL","0-10",3,24.4962969905762,2.60973313110365,1.50673012575578
"22","NL","10-20",3,19.0247065247065,2.0187293802108,1.16551395108571
"23","NL","20-40",3,16.3481803771726,2.02993864234323,1.17198562159528
"24","NL","40-60",3,15.8360142273186,0.489180933435383,0.282428743601351
"25","NL","60-100",3,14.2798080472499,2.67884011937586,1.54662906403762
"26","NOA","0-10",3,20.3409684796033,2.29571692629474,1.32543278537945
"27","NOA","10-20",3,21.1631464111389,1.27582443108183,0.736597578723798
"28","NOA","20-40",3,18.6621376692915,4.2867918215699,2.47498041214327
"29","NOA","40-60",3,17.3949921752739,2.01453562767598,1.16309268693082
"30","NOA","60-100",3,15.473063973064,3.12446437949648,1.80391035057569
"31","NR","0-10",3,22.2417529441061,2.34767182750971,1.35542896158163
"32","NR","10-20",3,17.446977124183,1.40241492056133,0.809684631901633
"33","NR","20-40",3,15.6873171107021,1.91880923425613,1.10782502792131
"34","NR","40-60",3,14.1608905376619,1.08186103724246,0.6246127610777
"35","NR","60-100",3,14.723311546841,2.30818299015067,1.33263007070241
