"","Trt","bulkden_mean","bulkden_stderr"
"1","CTL",0.605545856763342,0.0755353992960706
"2","DL",0.656658935284557,0.0747789685357132
"3","DW",0.498117096776624,0.0776356852205655
"4","NI",0.791777048750277,0.0488813977120577
"5","NL",0.747963968035053,0.0635332209469351
"6","NOA",0.911565603144817,0.100376698948509
"7","NR",0.787990893520755,0.0947148927916054
