"","X","DNP","Plot","Treatment","Trt","Rep","ToLine","ToSoil","Depth","CoreHt","Enotes","Flag","BagSampWt","RockWt","TinWt","WetSampTinWt","TotWetSampWt","Snotes","DryTinWt","TNotes","CNWeight","C","N","S","CN","WoodWt","WoodVol","WoodVolEst","CoreVol","RockVol","EffVol","moisture","BagWtChk","TotDrySamplWt","Bulk.Density","OM","Mineral"
"18",18,18,2,"Double Litter","DL","B",6.7,6.8,2.5,2.51,"","",43.09,0,1.62,10.48,33.03,"",10.19,"",97.687,4.15,0.25,0.086,16.6,0.53,1.5,4,57.455406,0,55.955406,0.0338389731621936,10.06,31.4188826185102,0.561498608704763,7.1961,92.8039
"19",19,19,2,"Double Litter","DL","B",6.7,6.8,0,2.4,"","",64.72,1.7,1.6,10.72,55.81,"",9.84,"",87.03,8.01,0.33,0.982,24.3,0,0,0,54.93744,0.894736842105263,54.0427031578947,0.106796116504854,8.91,48.7248245614035,0.90159858249588,13.88934,86.11066
"20",20,20,15,"No OA","NOA","A",6.7,8.4,10,5.1,"Big chunk of wood in core","X",124.22,31.89,1.16,10.02,115.39,"",9.48,"",87.615,1.42,0.09,0.047,15.8,12.95,14,22,116.74206,16.7842105263158,85.9578494736842,0.064903846153846,8.83,63.5172009029345,0.738934271760489,2.46228,97.53772
"21",21,21,15,"No OA","NOA","A",6.7,8.4,7.5,2.25,"","",46,7.2,1.14,12.45,37.48,"",12.15,"",86.932,1.78,0.1,0.039,17.8,0,0,0,51.50385,3.78947368421053,47.7143763157895,0.0272479564032697,8.52,29.2858355437666,0.613773830971681,3.08652,96.91348
"22",22,22,15,"No OA","NOA","A",6.7,8.4,5,2.75,"Spilled, weight NOT accurate","X",58.47,10.26,1.62,10.89,49.67,"",10.46,"",97.727,1.84,0.1,0.039,18.4,0,0,0,62.94915,5.4,57.54915,0.0486425339366515,8.8,37.1059978425027,0.644770562944938,3.19056,96.80944
"23",23,23,15,"No OA","NOA","A",6.7,8.4,0,5.001,"","",94.8,11.63,1.45,13.45,85.95,"",12.33,"",97.682,2.39,0.12,0.05,19.9,0,0,0,114.4758906,6.12105263157895,108.354837968421,0.102941176470588,8.84999999999999,66.298,0.611860081589729,4.14426,95.85574
"24",24,24,2,"Double Litter","DL","C",6.9,6.9,10,4.97,"","",117.49,1.76,1.4,13.03,108.33,"",10.76,"",86.992,2.66,0.16,1.744,16.6,0.36,1,3,113.766282,0.926315789473684,111.839966210526,0.242521367521367,9.16,85.0656233877902,0.760601297282794,4.61244,95.38756
"25",25,25,2,"Double Litter","DL","C",6.9,6.9,7.5,2.24,"","",48.04,0,0.96,10.6,39.37,"",9.88,"",97.504,3.91,0.19,0.059,20.6,0.8,2,5.5,51.274944,0,49.274944,0.0807174887892375,8.67,35.6295020746888,0.723075445295053,6.77994,93.22006
"26",26,26,2,"Double Litter","DL","C",6.9,6.9,5,2.7,"","",54.87,0,0.98,11.47,46.21,"",10.64,"",81.974,3.65,0.19,0.062,19.2,0.34,1.5,2.5,61.80462,0,60.30462,0.0859213250517598,8.66,42.2137273593899,0.700008181120947,6.3291,93.6709
"27",27,27,2,"Double Litter","DL","C",6.9,6.9,2.5,2.25,"","",47.61,0,1.45,10,38.95,"",9.59,"",96.322,4.22,0.19,0.061,22.2,0,0,0,51.50385,0,51.50385,0.0503685503685504,8.66,37.0822222222222,0.71998932550134,7.31748,92.68252
"28",28,28,2,"Double Litter","DL","C",6.9,6.9,0,2.7,"","",89.32,2.19,1.12,10.52,80.57,"",9.46,"",89.153,4.95,0.22,0.049,22.5,0,0,0,61.80462,1.15263157894737,60.6519884210526,0.127098321342926,8.75,69.2944468085106,1.14249258124006,8.5833,91.4167
"29",29,29,19,"No Input","NI","C",6.6,6.15,10,4.85,"Spilled, weight NOT accurate, surface of core was decaying burnt log","X",117.85,2.63,1.61,10.196,109.12,"",9.45,"",91.433,2.64,0.17,0.04,15.5,0,0,0,111.01941,1.38421052631579,109.635199473684,0.09515306122449,8.72999999999999,97.0090402981598,0.884834804550567,4.57776,95.42224
"30",30,30,19,"No Input","NI","C",6.6,6.15,7.5,2.52,"Surface of core was decaying burnt log","X",58.38,0,1,12.18,49.45,"",11.45,"",85.665,3.38,0.18,0.043,18.8,0,0,0,57.684312,0,57.684312,0.0698564593301436,8.93,46.2211538461538,0.801277717348069,5.86092,94.13908
"31",31,31,19,"No Input","NI","C",6.6,6.15,5,2.4,"Surface of core was decaying burnt log","X",51.68,0,1.39,11.35,42.84,"",10.76,"",92.694,4.25,0.19,0.038,22.4,0,0,0,54.93744,0,54.93744,0.0629669156883671,8.84,40.3022891566265,0.733603334203896,7.3695,92.6305
"32",32,32,19,"No Input","NI","C",6.6,6.15,2.5,2.75,"Surface of core was decaying burnt log","X",47.03,0,1.14,9.71,38.28,"",9.28,"",92.57,6.77,0.25,0.059,27.1,0,0,0,62.94915,0,62.94915,0.052825552825553,8.75,36.3592998833139,0.577597948237806,11.73918,88.26082
"33",33,33,19,"No Input","NI","C",6.6,6.15,0,2.6,"Surface of core was decaying burnt log","X",45.49,0,0.96,9.6,36.62,"",7.08,"",89.841,31.78,0.57,0.078,55.8,0,0,0,59.51556,0,59.51556,0.411764705882353,8.87,25.9391666666667,0.435838403716048,55.10652,44.89348
"34",34,34,15,"No OA","NOA","C",6.7,7.1,10,5.1,"Wonky extraction","X",115.8,8.12,1,12.11,107.07,"",10.95,"",94.698,1.18,0.08,0.042,14.8,0.22,0.9,1.5,116.74206,4.27368421052632,111.568375789474,0.116582914572864,8.73,87.5507740774077,0.78472751313162,2.04612,97.95388
"35",35,35,15,"No OA","NOA","C",6.7,7.1,7.5,2.4,"Wonky extraction","X",60.27,14.41,1.13,10.62,51.55,"",10.16,"",94.152,1.24,0.08,0.043,15.5,0.43,1,2,54.93744,7.58421052631579,46.3532294736842,0.0509413067552599,8.72000000000001,34.2112644889357,0.738055684089028,2.15016,97.84984
"36",36,36,15,"No OA","NOA","C",6.7,7.1,5,2.45,"Wonky extraction","X",47.92,8.08,1.62,12.46,38.96,"",11.97,"",91.889,1.32,0.09,0.042,14.7,0.5,2,2.5,56.08197,4.25263157894737,49.8293384210526,0.047342995169082,8.96,28.6188929889299,0.574338209090863,2.28888,97.71112
"37",37,37,15,"No OA","NOA","C",6.7,7.1,2.5,2.45,"Wonky extraction","X",46.15,3.62,1.62,13.33,36.84,"",13.06,"",98.971,1.32,0.09,0.048,14.7,0,0,0,56.08197,1.90526315789474,54.1767068421053,0.0236013986013986,9.31,32.3705721605466,0.597499812140458,2.28888,97.71112
"38",38,38,15,"No OA","NOA","C",6.7,7.1,0,2.7,"Wonky extraction","X",78.12,7.29,1.63,13.67,68.93,"",13.35,"",92.045,1.89,0.12,0.04,15.8,0,0,0,61.80462,3.83684210526316,57.9677778947369,0.0273037542662116,9.19,59.8079734219269,1.03174514521726,3.27726,96.72274
