"","Trt","Plot","root_mass_mean","root_mass_sterr","core_vol","core_area","root_mass_m2","root_mass_sterr_m2"
"1","CTL",8,0.251666666666667,0.123861930300548,0.000228906,0.00228906,109.943237253137,54.1103904225087
"2","CTL",12,0.599,0.336200832836565,0.000228906,0.00228906,261.679466680646,146.872879189084
"3","CTL",14,0.445666666666667,0.0981229387610823,0.000228906,0.00228906,194.694183056218,42.8660405411314
"4","DL",2,0.761333333333333,0.250527665360756,0.000228906,0.00228906,332.596495213465,109.445652521453
"5","DL",13,0.627,0.292641418804652,0.000228906,0.00228906,273.911561951194,127.843489818813
"6","DL",17,0.0396666666666667,0.0269093127208985,0.000228906,0.00228906,17.328801633276,11.755617030964
"7","DW",5,1.37533333333333,1.05507129827536,0.000228906,0.00228906,600.828870074761,460.91902277588
"8","DW",10,1.153,0.42466143377205,0.000228906,0.00228906,503.700208819341,185.517825558111
"9","DW",16,0.672666666666667,0.0329511422833531,0.000228906,0.00228906,293.86152685673,14.395053988691
"10","NI",19,0.0136666666666667,0.0095277372853043,0.000228906,0.00228906,5.97042745348163,4.162292506664
"11","NI",49,0.274333333333333,0.261441091728987,0.000228906,0.00228906,119.845409615009,114.213297916606
"12","NI",69,0.0456666666666667,0.0252080234140728,0.000228906,0.00228906,19.9499649055362,11.0123908565406
"13","NL",3,0.217,0.130639452948436,0.000228906,0.00228906,94.7987383467449,57.0712226627682
"14","NL",7,0.199666666666667,0.0931778466756509,0.000228906,0.00228906,87.2264888935487,40.7057249157518
"15","NL",11,0.216666666666667,0.0620277715579437,0.000228906,0.00228906,94.6531181649527,27.0974861113049
"16","NOA",9,0.449,0.150141044798993,0.000228906,0.00228906,196.15038487414,65.5906987143165
"17","NOA",15,0.29,0.29,0.000228906,0.00228906,126.689558159244,126.689558159244
"18","NOA",18,0.133,0.012,0.000228906,0.00228906,58.1024525351017,5.24232654452046
"19","NR",1,0.145333333333333,0.0706383591101731,0.000228906,0.00228906,63.4903992614144,30.8591120853858
"20","NR",4,0.0873333333333333,0.0373511862075505,0.000228906,0.00228906,38.1524876295655,16.3172595770974
"21","NR",6,0.01,0.01,0.000228906,0.00228906,4.36860545376705,4.36860545376705
