DNP,Plot,Rep,Depth,Trt
285,18,C,10,NOA
286,18,C,7.5,NOA
287,18,C,5,NOA
288,18,C,2.5,NOA
289,18,C,0,NOA
290,18,A,10,NOA
291,18,A,7.5,NOA
292,18,A,5,NOA
293,18,A,2.5,NOA
294,18,A,0,NOA
295,9,A,10,NOA
296,9,A,7.5,NOA
297,9,A,5,NOA
298,9,A,2.5,NOA
299,9,A,0,NOA
300,18,B,10,NOA
301,18,B,7.5,NOA
302,18,B,5,NOA
303,18,B,2.5,NOA
304,18,B,0,NOA
