"","Trt","root_mn","root_sterr","rootm2","rootsterr_m2"
"1","CTL",0.432111111111111,0.100495316517613,188.772295663334,43.9024387816892
"2","DL",0.476,0.221586284506694,207.945619599311,96.802305097592
"3","DW",1.067,0.207350035054342,466.130201916944,90.5830493977189
"4","NI",0.111222222222222,0.0820770490168149,48.5886006580091,35.8562243963963
"5","NL",0.211111111111111,0.00572303122652263,92.2261151350821,2.50016654282659
"6","NOA",0.290666666666667,0.0912219515491992,126.980798522829,39.8512715041105
"7","NR",0.0808888888888889,0.0392000251952552,35.3371641149157,17.1249443855798
