JAR,AMENDMENT,TRT,DAY,HOUR,X12C,X13C
152,CELLULOSE,NR,2,42,55.362,0.17
153,CELLULOSE,NR,2,42,54.724,0.145
169,OXALATE,NR,2,42,77.526,12.453
170,OXALATE,NR,2,42,86.811,13.131
171,OXALATE,NR,2,42,80.629,12.488
178,PHENOL,NR,2,42,62.669,2.362
179,PHENOL,NR,2,42,63.916,2.323
180,PHENOL,NR,2,42,65.166,2.429
7,CELLULOSE,CTL,3,66,84.042,0.192
8,CELLULOSE,CTL,3,66,89.143,0.174
9,CELLULOSE,CTL,3,66,76.571,0.147
25,OXALATE,CTL,3,66,97.802,13.643
26,OXALATE,CTL,3,66,96.57,11.315
27,OXALATE,CTL,3,66,95.131,10.352
34,PHENOL,CTL,3,66,92.878,2.47
35,PHENOL,CTL,3,66,93.112,2.618
36,PHENOL,CTL,3,66,103.138,2.678
43,CELLULOSE,DW,3,66,111.216,0.211
44,CELLULOSE,DW,3,66,101.568,0.178
45,CELLULOSE,DW,3,66,115.231,0.173
61,OXALATE,DW,3,66,136.675,13.365
62,OXALATE,DW,3,66,152.903,14.487
63,OXALATE,DW,3,66,143.704,12.414
70,PHENOL,DW,3,66,129.387,4.769
71,PHENOL,DW,3,66,138.956,4.516
72,PHENOL,DW,3,66,134.059,4.507
79,CELLULOSE,DL,3,66,,
80,CELLULOSE,DL,3,66,98.262,0.185
81,CELLULOSE,DL,3,66,100.667,0.176
97,OXALATE,DL,3,66,116.186,11.968
98,OXALATE,DL,3,66,,
99,OXALATE,DL,3,66,119.799,11.05
106,PHENOL,DL,3,66,120.385,2.934
107,PHENOL,DL,3,66,106.557,2.646
108,PHENOL,DL,3,66,121.148,2.872
115,CELLULOSE,NI,3,66,64.233,0.139
116,CELLULOSE,NI,3,66,58.169,0.136
117,CELLULOSE,NI,3,66,51.04,0.127
133,OXALATE,NI,3,66,77.238,12.824
134,OXALATE,NI,3,66,75.088,12.393
135,OXALATE,NI,3,66,79.541,11.637
142,PHENOL,NI,3,66,69.554,3.13
143,PHENOL,NI,3,66,64.989,2.949
144,PHENOL,NI,3,66,48.277,2.341
151,CELLULOSE,NR,3,66,84.959,0.178
152,CELLULOSE,NR,3,66,80.728,0.175
153,CELLULOSE,NR,3,66,77.241,0.138
169,OXALATE,NR,3,66,103.726,12.862
170,OXALATE,NR,3,66,117.533,13.559
171,OXALATE,NR,3,66,108.629,12.814
178,PHENOL,NR,3,66,87.067,2.64
179,PHENOL,NR,3,66,87.692,2.572
180,PHENOL,NR,3,66,83.127,2.473
7,CELLULOSE,CTL,5,114,130.97,0.385
8,CELLULOSE,CTL,5,114,138.515,0.349
9,CELLULOSE,CTL,5,114,126.276,0.296
25,OXALATE,CTL,5,114,143.388,14.586
26,OXALATE,CTL,5,114,143.839,12.029
27,OXALATE,CTL,5,114,144.14,11.099
34,PHENOL,CTL,5,114,138.149,2.822
35,PHENOL,CTL,5,114,138.434,3
36,PHENOL,CTL,5,114,152.664,3.057
43,CELLULOSE,DW,5,114,174.791,0.319
44,CELLULOSE,DW,5,114,169.247,0.347
45,CELLULOSE,DW,5,114,184.346,0.287
61,OXALATE,DW,5,114,201.262,13.883
62,OXALATE,DW,5,114,224.711,15.065
63,OXALATE,DW,5,114,215.903,12.909
70,PHENOL,DW,5,114,197.106,5.292
71,PHENOL,DW,5,114,213.679,5.024
72,PHENOL,DW,5,114,205.204,4.997
79,CELLULOSE,DL,5,114,,
80,CELLULOSE,DL,5,114,149.09,0.305
81,CELLULOSE,DL,5,114,153.748,0.312
97,OXALATE,DL,5,114,167.859,12.531
98,OXALATE,DL,5,114,,
99,OXALATE,DL,5,114,178.97,11.582
106,PHENOL,DL,5,114,180.128,3.368
107,PHENOL,DL,5,114,162.274,3.069
108,PHENOL,DL,5,114,182.829,3.305
115,CELLULOSE,NI,5,114,97.738,0.249
116,CELLULOSE,NI,5,114,90.23,0.251
117,CELLULOSE,NI,5,114,82.138,0.231
133,OXALATE,NI,5,114,111.38,13.987
134,OXALATE,NI,5,114,114.033,13.492
135,OXALATE,NI,5,114,113.779,12.626
142,PHENOL,NI,5,114,102.832,3.654
143,PHENOL,NI,5,114,96.782,3.504
144,PHENOL,NI,5,114,77.025,2.94
151,CELLULOSE,NR,5,114,131,0.421
152,CELLULOSE,NR,5,114,125.293,0.407
153,CELLULOSE,NR,5,114,121.917,0.338
169,OXALATE,NR,5,114,151.938,13.814
170,OXALATE,NR,5,114,173.027,14.513
171,OXALATE,NR,5,114,160.695,13.705
178,PHENOL,NR,5,114,132.426,3.067
179,PHENOL,NR,5,114,131.532,3
180,PHENOL,NR,5,114,129.918,2.923
7,CELLULOSE,CTL,6,136,146.757,0.464
8,CELLULOSE,CTL,6,136,159.6,0.433
9,CELLULOSE,CTL,6,136,145.294,0.361
25,OXALATE,CTL,6,136,163.217,14.696
26,OXALATE,CTL,6,136,164.556,12.123
27,OXALATE,CTL,6,136,165.306,11.209
34,PHENOL,CTL,6,136,158.191,2.94
35,PHENOL,CTL,6,136,157.875,3.12
36,PHENOL,CTL,6,136,173.692,3.181
43,CELLULOSE,DW,6,136,204.195,0.373
