DNPF,Plot,Treatment,TRT,Depth,Dfrac_smpl_wt,tot_percC_frac_calc,frac_return wt,frac_wt_return,tot_bulk_C_calc,LF_wt,LF_percC,LF_percN,LF_CtoN,LF_Cstk,IF_wt,IF_percC,IF_percN,IF_CtoN,IF_Cstk,HF_wt,HF_percC,HF_percN,HF_CtoN,HF_Cstk,LF_PROP,IF_PROP,HF_PROP
28,7,No Litter,NL,10-20,40.011,1.56,37.28,0.93,0.58,0.64,26.37,0.53,49.75,4.548,8.62,2.32,0.2,11.5,5.367,28.02,0.76,0.07,10.63,5.6748,0.02,0.23,0.75
29,8,Control,CTL,10-20,40.033,1.95,35.8,0.89,0.7,1.08,26.32,0.53,49.57,7.949,11.57,1.83,0.16,11.63,5.902,23.15,0.88,0.08,10.7,5.6705,0.03,0.32,0.65
30,9,No OA,NOA,10-20,40.075,1.02,36.4,0.91,0.37,0.66,25.21,0.52,48.2,4.592,7.96,1.51,0.13,11.55,3.309,27.78,0.3,0.04,7.6,2.3197,0.02,0.22,0.76
31,10,Double Wood,DW,10-20,40.201,2.29,36.1,0.9,0.83,2.04,24.65,0.47,52.89,13.923,11.16,1.61,0.12,13.77,4.978,22.9,0.63,0.05,12.68,4.0227,0.06,0.31,0.63
32,11,No Litter,NL,10-20,40.231,2.12,36.44,0.91,0.77,1.68,21.61,0.45,48.35,9.947,13,1.92,0.13,14.74,6.837,21.76,0.73,0.05,13.81,4.3711,0.05,0.36,0.6
33,12,Control,CTL,10-20,40.031,2.67,36.27,0.91,0.97,1.61,23.74,0.52,45.74,10.531,9.21,3.52,0.23,15.35,8.924,25.45,1.03,0.08,12.67,7.2008,0.04,0.25,0.7
34,13,Double Litter,DL,10-20,40.124,2.73,37.04,0.92,1.01,2.3,22.84,0.58,39.45,14.173,11.04,2.59,0.18,14.16,7.723,23.7,0.84,0.05,15.56,5.3751,0.06,0.3,0.64
35,14,Control,CTL,10-20,40.019,1.96,37.63,0.94,0.74,1.24,27.48,0.6,45.73,9.048,6.26,3.06,0.21,14.79,5.095,30.13,0.68,0.05,12.56,5.4286,0.03,0.17,0.8
36,15,No OA,NOA,10-20,40.196,1.67,37.89,0.94,0.63,0.94,30.65,0.61,50.16,7.571,7.2,2.42,0.19,12.96,4.605,29.76,0.58,0.04,14.77,4.5235,0.02,0.19,0.79
37,16,Double Wood,DW,10-20,40.423,5.52,37.85,0.94,2.09,4.2,29.8,0.68,44.02,33.034,8.36,5.61,0.31,17.98,12.392,25.3,1.46,0.08,17.61,9.7705,0.11,0.22,0.67
38,17,Double Litter,DL,10-20,40.356,1.45,38.12,0.94,0.55,0.99,30.09,0.64,46.73,7.8,6.09,4.18,0.33,12.62,6.671,31.04,0.84,0.05,15.56,5.3751,0.03,0.16,0.81
39,18,No OA,NOA,10-20,40.066,2.7,37.17,0.93,1,2.54,22.03,0.57,38.38,15.031,11.24,2.89,0.21,14.01,8.726,23.39,0.51,0.05,10.69,3.2288,0.07,0.3,0.63
40,19,No Input,NI,10-20,40.25,2.23,38.72,0.96,0.86,1.17,30.61,0.68,45.09,9.218,4.17,4.52,0.31,14.56,4.867,33.38,0.95,0.07,13.05,8.2158,0.03,0.11,0.86
41,49,No Input,NI,10-20,40.034,1.15,37.46,0.94,0.43,0.43,31.97,0.59,54.09,3.67,5.4,2.21,0.21,10.58,3.19,31.63,0.55,0.06,10.07,4.6776,0.01,0.14,0.84
42,69,No Input,NI,10-20,40.032,2.13,38.09,0.95,0.81,2.01,27.13,0.65,41.99,14.307,5.2,5.16,0.38,13.58,7.042,30.88,0.75,0.065,11.56,6.4467,0.05,0.14,0.81
