"","Trt","bulkden_mean","bulkden_stderr"
"1","CTL",0.606255496581941,0.142109443958495
"2","DL",0.647390295776315,0.118775737763921
"3","DW",0.495348837219916,0.149284597856147
"4","NI",0.792699140785583,0.0742577196973151
"5","NL",0.742357569964207,0.0748525022426087
"6","NOA",0.835992588186367,0.123246147569429
"7","NR",0.775579194246182,0.141143134930018
