Trt,percC
NR,58
DL,55
NL,44
NR,42
DW,54
NR,39
NL,55
CTL,52
NOA,13
DW,63
NL,45
CTL,50
DL,62
CTL,42
NOA,20
DW,55
DL,62
NOA,15
NI,47
NI,39
NI,52
NR,82
DL,62
NL,74
NR,51
DW,43
NR,62
NL,55
CTL,48
NOA,16
DW,52
NL,50
CTL,50
DL,48
CTL,37
NOA,26
DW,65
DL,60
NOA,32
NI,58
NI,40
NI,54
NR,47
DL,43
NL,45
NR,45
DW,54
NR,54
NL,38
CTL,68
NOA,17
DW,39
NL,42
CTL,35
DL,51
CTL,34
NOA,19
DW,57
DL,61
NOA,16
NI,54
NI,42
NI,50
