"","diff","lwr","upr","p adj"
"DL-CTL",0.67,-2.08845477743139,3.42845477743139,0.977431253674262
"DW-CTL",1.16,-1.59845477743139,3.91845477743139,0.774975350301694
"NI-CTL",0.206666666666667,-2.55178811076473,2.96512144409806,0.999966890215479
"NL-CTL",0.0933333333333337,-2.66512144409806,2.85178811076473,0.999999705440416
"NOA-CTL",-0.133333333333333,-2.89178811076473,2.62512144409806,0.999997527900353
"NR-CTL",0.486666666666667,-2.27178811076473,3.24512144409806,0.99565622301516
"DW-DL",0.49,-2.26845477743139,3.24845477743139,0.995493920373242
"NI-DL",-0.463333333333333,-3.22178811076473,2.29512144409806,0.996669427048683
"NL-DL",-0.576666666666666,-3.33512144409806,2.18178811076473,0.989378542534838
"NOA-DL",-0.803333333333333,-3.56178811076473,1.95512144409806,0.947096738867419
"NR-DL",-0.183333333333333,-2.94178811076473,2.57512144409806,0.999983658936945
"NI-DW",-0.953333333333333,-3.71178811076473,1.80512144409806,0.890511647145949
"NL-DW",-1.06666666666667,-3.82512144409806,1.69178811076473,0.831907783810916
"NOA-DW",-1.29333333333333,-4.05178811076473,1.46512144409806,0.684156554150299
"NR-DW",-0.673333333333333,-3.43178811076473,2.08512144409806,0.976877620516922
"NL-NI",-0.113333333333333,-2.87178811076473,2.64512144409806,0.999999061183717
"NOA-NI",-0.34,-3.0984547774314,2.41845477743139,0.999406115442629
"NR-NI",0.28,-2.47845477743139,3.0384547774314,0.999805076991222
"NOA-NL",-0.226666666666667,-2.98512144409806,2.53178811076473,0.999943057382022
"NR-NL",0.393333333333334,-2.36512144409806,3.15178811076473,0.998649701253795
"NR-NOA",0.620000000000001,-2.13845477743139,3.3784547774314,0.984639616601682
