"","diff","lwr","upr","p adj"
"DL-CTL",-0.0266666666666673,-3.72001138474426,3.66667805141093,0.999999999971893
"DW-CTL",1.20666666666667,-2.48667805141093,4.90001138474426,0.912971376760229
"NI-CTL",-0.826666666666667,-4.52001138474426,2.86667805141093,0.984959484105753
"NL-CTL",-0.250000000000001,-3.94334471807759,3.44334471807759,0.999981795016241
"NOA-CTL",-2.69333333333333,-6.38667805141093,1.00001138474426,0.233975862742293
"NR-CTL",0.0933333333333337,-3.60001138474426,3.78667805141093,0.999999948595818
"DW-DL",1.23333333333333,-2.46001138474426,4.92667805141093,0.904736326139961
"NI-DL",-0.8,-4.49334471807759,2.89334471807759,0.987261492130451
"NL-DL",-0.223333333333334,-3.91667805141093,3.47001138474426,0.999990655972107
"NOA-DL",-2.66666666666667,-6.36001138474426,1.02667805141093,0.242770594935677
"NR-DL",0.120000000000001,-3.57334471807759,3.81334471807759,0.999999768830914
"NI-DW",-2.03333333333333,-5.72667805141093,1.66001138474426,0.52225104338505
"NL-DW",-1.45666666666667,-5.15001138474426,2.23667805141093,0.819547137373171
"NOA-DW",-3.9,-7.59334471807759,-0.206655281922406,0.0355059222087122
"NR-DW",-1.11333333333333,-4.80667805141093,2.58001138474426,0.938349081113695
"NL-NI",0.576666666666666,-3.11667805141093,4.27001138474426,0.997766446463244
"NOA-NI",-1.86666666666667,-5.56001138474426,1.82667805141093,0.611674210335886
"NR-NI",0.920000000000001,-2.77334471807759,4.61334471807759,0.974484533495132
"NOA-NL",-2.44333333333333,-6.13667805141093,1.25001138474426,0.32639920510056
"NR-NL",0.343333333333335,-3.35001138474426,4.03667805141093,0.999882982639978
"NR-NOA",2.78666666666667,-0.906678051410925,6.48001138474426,0.205147385951031
