"","diff","lwr","upr","p adj"
"DL-CTL",0.18,-0.456750361037895,0.816750361037895,0.953755110031614
"DW-CTL",0.2,-0.436750361037895,0.836750361037895,0.926314106195122
"NI-CTL",-0.216666666666667,-0.853417027704561,0.420083694371228,0.8971532302925
"NL-CTL",-0.136666666666667,-0.773417027704561,0.500083694371228,0.987842796867979
"NOA-CTL",-0.0733333333333333,-0.710083694371228,0.563417027704561,0.999596817714451
"NR-CTL",-0.166666666666667,-0.803417027704561,0.470083694371228,0.967658107498134
"DW-DL",0.0199999999999999,-0.616750361037895,0.656750361037895,0.99999981118056
"NI-DL",-0.396666666666667,-1.03341702770456,0.240083694371228,0.38892175567497
"NL-DL",-0.316666666666667,-0.953417027704561,0.320083694371228,0.627837628001916
"NOA-DL",-0.253333333333333,-0.890083694371228,0.383417027704561,0.813892544383578
"NR-DL",-0.346666666666667,-0.983417027704561,0.290083694371228,0.534197232541231
"NI-DW",-0.416666666666667,-1.05341702770456,0.220083694371228,0.337517435983
"NL-DW",-0.336666666666667,-0.973417027704561,0.300083694371228,0.565201351788785
"NOA-DW",-0.273333333333333,-0.910083694371228,0.363417027704561,0.759245234095465
"NR-DW",-0.366666666666667,-1.00341702770456,0.270083694371228,0.473715620242159
"NL-NI",0.08,-0.556750361037895,0.716750361037895,0.999337954099601
"NOA-NI",0.143333333333333,-0.493417027704561,0.780083694371228,0.984523155219305
"NR-NI",0.05,-0.586750361037895,0.686750361037895,0.999956368759976
"NOA-NL",0.0633333333333334,-0.573417027704561,0.700083694371228,0.99982671750856
"NR-NL",-0.03,-0.666750361037895,0.606750361037895,0.999997877338818
"NR-NOA",-0.0933333333333333,-0.730083694371228,0.543417027704561,0.998425463360142
