"","diff","lwr","upr","p adj"
"DL-CTL",-0.203333333333333,-1.19592481076586,0.789258144099196,0.990436409430075
"DW-CTL",0.0566666666666669,-0.935924810765863,1.0492581440992,0.999993354807481
"NI-CTL",-0.573333333333333,-1.56592481076586,0.419258144099196,0.470383258960968
"NL-CTL",-0.14,-1.13259147743253,0.85259147743253,0.998729555826856
"NOA-CTL",-0.093333333333333,-1.08592481076586,0.899258144099196,0.999874928335686
"NR-CTL",-0.376666666666666,-1.3692581440992,0.615924810765864,0.84309998936995
"DW-DL",0.26,-0.73259147743253,1.25259147743253,0.967543976217209
"NI-DL",-0.37,-1.36259147743253,0.622591477432529,0.853191731603746
"NL-DL",0.0633333333333332,-0.929258144099196,1.05592481076586,0.999987159223337
"NOA-DL",0.11,-0.88259147743253,1.10259147743253,0.999676645594963
"NR-DL",-0.173333333333333,-1.16592481076586,0.819258144099197,0.995889578882166
"NI-DW",-0.63,-1.62259147743253,0.362591477432529,0.369173764191128
"NL-DW",-0.196666666666667,-1.1892581440992,0.795924810765863,0.991959886227044
"NOA-DW",-0.15,-1.14259147743253,0.842591477432529,0.998134954914531
"NR-DW",-0.433333333333333,-1.42592481076586,0.559258144099197,0.745824794954371
"NL-NI",0.433333333333334,-0.559258144099196,1.42592481076586,0.745824794954369
"NOA-NI",0.48,-0.512591477432529,1.47259147743253,0.655157468204242
"NR-NI",0.196666666666668,-0.795924810765862,1.1892581440992,0.991959886227044
"NOA-NL",0.0466666666666666,-0.945924810765863,1.0392581440992,0.999997903817913
"NR-NL",-0.236666666666666,-1.2292581440992,0.755924810765863,0.979391304643361
"NR-NOA",-0.283333333333333,-1.27592481076586,0.709258144099197,0.95166551294327
